5.1. Seberapa puas Anda terhadap Anda menilai kemampuan mentor dalam menjelaskan materi?,"5.2. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.3. Metode pembelajaran apa yang digunakan oleh mentor?,5.4. Seberapa puas Anda terhadap metode pembelajaran yang digunakan oleh mentor?,5.5. Seberapa puas Anda terhadap materi kelas Program GIKnowledge Building 2025?,"5.6. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.7. Apakah materi dan kegiatan yang diberikan sesuai dengan kebutuhan pengembangan Anda?,5.8. Apakah Program GIKnowledge Building membantu Anda memahami hal-hal baru yang relevan dengan rencana pekerjaan atau karier Anda?,5.9. Apakah Anda merasa lebih percaya diri setelah mengikuti program ini?,"5.10. Sejauh mana program ini memberi dampak positif bagi cara Anda bekerja, berpikir, atau berkolaborasi?",5.11. Bagaimana pendapat Anda tentang jadwal dan durasi setiap sesi?,5.12. Seberapa puas Anda terhadap fasilitas kelas GIKnowledge Building 2025?,"5.13. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.14. Seberapa puas Anda terhadap Tim GIK dalam memberikan bimbingan dan dukungan yang cukup selama  penyelenggaraan Program GIKnowledge Building 2025?,"5.15. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.16. Apa manfaat utama yang Anda rasakan setelah mengikuti program ini?,5.17. Apa hal terbaik dari Program GIKnowledge Building 2025 yang sebaiknya dipertahankan?,"5.18. Apakah ada topik, metode, atau aktivitas baru yang ingin Anda tambahkan pada pelaksanaan selanjutnya?","5.19. Berdasarkan level kepuasanmu terhadap keseluruhan pelaksanaan program sejauh ini, seberapa mungkin Anda memberi rekomendasi ke teman atau mahasiswa lain untuk mengikuti Program GIKnowledge Building?","5.20. Jika Anda menjawab ""Sangat direkomendasikan"", atau ""Direkomendasikan"" pada pertanyaan sebelumnya, Berikan alasan mengapa Anda bersedia merekomendasikan program GIKnowledge Building ini kepada teman atau mahasiswa lain?",5.21. Ceritakan pengalaman berkesan selama Anda mengikuti Program GIKnowledge Building!,5.22. Berikan saran perbaikan untuk pengembangan dan keberlanjutan Program GIKnowledge Building!
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Puas,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,menambak skill dan kepercayaan diri,"fasilitas, mentor dan materi kelas ",belum ada,Netral,N/A,saat saya menjalin relasi dan koneksi dengan teman-teman di GIKnowledge Building,Terkait dengan pengumuman perubahan jadwal lebih baik diberitahukan jauh-jauh hari
Sangat puas,Pertanyaan tidak relevan,Praktik dan simulasi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mempersiapkan mahasiswa untuk siap kerja melalui pelatihan langsung,Kelasnya interaktif dengan praktisi industri ternama,-,Sangat direkomendasikan,"Karna kelas ini dirancang selain meningkatkan kesiapan untuk bekerja, progtam ini juga menawadkan pengakuan akademis seperti konversi SKS atau SKPI","Karan saya mengambil kelas perusahaan mitra, pengalaman berkesan saya adalah menjual barang secara live",-
Sangat puas,Pertanyaan tidak relevan,Praktik dan simulasi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Manfaaf utamanya adalah mempersiapkan mahasiswa untuk karier profesional melalui pembelajaran praktis dari praktisi industri,Kesempatan untuk belajar langsung dari praktisi industri ternama melalui kelas interaktif dan proyek studi kasus nyata,N/A,Sangat direkomendasikan,"Karna, selain berkesempatan untuk belajar langsung dari praktisi industri ternama melalui kelas interaktif dan proyek studi kasus nyata. Kelas ini juga bisa digunakan sebagaj konversi sks atau SKPI",Pengalaman saya adalah berjualan langsung dalamlive perusahaan mitra,N/A
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Wawasan bekerja di industri kreatif.,Playfull Conversation and Fun Activity,Mungkin sesuatu yang berkaitan dengan Artificial Intelligence (AI)?,Direkomendasikan,N/A,"Hari pertama ikut kelas di GIK, tiba-tiba udah disuruh buat konten perusahaan mitra. A little bit confused, but okay, it's still fun by the way. Ada yang tiba-tiba jadi cameraman, ada yang tiba-tiba jadi si sutradara, terus aktornya juga kocak. What a great time!","Materinya boleh dong di share, biar kita bisa ada bekal untuk menjelajahi dunia industri kreatif ini."
Sangat puas,;,Diskusi,Puas,Puas,;,Ya,Ya,Ya,Berdampak,Terlalu panjang,Puas,;,Puas,;,Menjadi lebih percaya diri dan menambah khazanah pengetahuan tentang host live serta mendapatkan banyak teman.,Praktek host live,Tiada ,Direkomendasikan,"Asik dan seru, pembelajaran tidak terlalu berat.",Mendapatkan banyak teman dan manfaat dari narasumber yang diundang.,Tidak ada 
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mendapatkan ilmu untuk bekal mencari pekerjaan,Bekerja sama dengan perusahaan lain untuk mendukung keberlanjutan program GIKnowledge Building,Belum ada,Direkomendasikan,N/A,Mendapatkan ilmu baru dengan teman teman dan dapat berinteraksi langsung dengan mentor,Sudah sangat bagus
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Puas,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Saya ammpu memahami cara menggunakan AI dengan baik,Memberikan banyak pilihan kelas/mitra ,Lebih banyak diskusi dan sharing session,Direkomendasikan,Menambah ilmu dan pengetahuan ,Saya dapat banyak pelajaran dan insign memgenai perusahaan terkait,"Tolong jangan dadakan dalam memberikan pemberitahuan adanya kelas, gunakan google class dengan baik"
Puas,Pertanyaan tidak relevan,Ceramah,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,menambah pengetahuan terkait hist streaming dan industri digital,"kemauan untuk belajar menjadi host, terus meningkatkan kapasitas dan jam terbang",belum ada,Direkomendasikan,N/A,"mendapatkan teman baru, mendapatkan ilmu baru, diberikan kesempatan langsung untuk praktik, mentornya asik, dapat doorprize","waktu yang molor ketika praktik di hari terakhir sehingga sampai malam dan tida optimal untuk sesi wawancara dengan mitra, sarannya diperbanyak fasilnya dan pewawancaranya agar tidak terlalu lama menunggu"
Sangat puas,Mentor Sangat Kompeten dan mendeliveri materi dengan sangat baik,Kegiatan interaktif,Sangat puas,Sangat puas,Materi Sesuai Ekspektasi,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Lebih mendapat Insight dari oppurtunity sumber side hustle,Kolaborasi dengan mitra-mitra yang punya nama besar,Kalau memungkinkan seperti Tour ke Workshop Mitra,Netral,N/A,N/A,N/A
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,tau gambaran materi dengan dunia kerja,sesi diskusi interaktif,Digital Marketing di Manufacturing Company,Direkomendasikan,Jadi ada gambaran mengenai praktik di dunia kerja,menghandle UMKM. Menyelaraskan goals yang ingin mereka capai dalam waktu dekat dengan materi yang telah kami pelajari selama dikelas,Pendampingan UMKM perlu diinfokan setelah opening ceremony. sehingga bisa ada checking dan evaluasi UMKM terlebih dahulu. supaya waktu monitoringnya bisa lebih lama sehingga bisa lebih efektif
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Sangat puas,Puas,"Materi dan/atau topik kurang relevan, Pertanyaan tidak relevan",Tidak,Ya,Ya,Berdampak,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,mendapatkan pengalaman nyata tentang bagaimana menggunakan data sebagai dasar memyusun strategi pemasaran,mitra,-,Direkomendasikan,N/A,mengetahui bagaimama data dri aku perusahaan mitra bekerja,"kalau bisa, kelas perusahaan mitra jangan cuman singkat. tpi mungkin bisa membahas lebih dalam strategi pemasaran menggunakan perusahaan mitra dan melakukam praktik dengan durasi yg lebih lama"
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Melayih skill public speakinh dan menambah networking,Semua sudah ok,-,Netral,N/A,Insightfull,-
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Memberikan insight baru tentang POV dri sudut pandang industri,mitra yang berkualitas,tidak,Direkomendasikan,Karena saya rasa perlu untuk menambah pengetahuan tentang bagaimana cara kerja di industri,"saya mendapatkan banyak ilmu baru, walaupun mungkin kurang relevan dengan background pendidikan saya namun, tidak ada salahnya untuk menambah pengetahuan baru di industri yang sedang masif berkembang. ",urutan dalam pemilihan dan penentuan mitra mungkin dapat hanya memilih mitra yang benar-benar ingin dipilih menimbang agar sesuai dengan minat pendaftar
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Kepercayaan diri dan mengetahui lebih detail mengenai pekerjaan sebagai host live streaming yang biasanya saya hanya menonton saja,kesempatan magang,Berkunjung ke perusahaan,Sangat direkomendasikan,dapat meningkatkan skill komunikasi dan informasi mengenai persiapan pekerjaan setelah lulus,jadi lebih percaya diri untuk berbicara di hadapan banyak orang dan mendapatkan teman baru,lebih responsif apabila dihubungi
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mempelajari materi lebih dalam tentang duia live streming perusahaan mitra,kegiatan praktik yang dilakukan,live perusahaan mitra menggunakan akun sendiri dan mulai belajar mengelola akun supaya bisa mendapat bimbingan langsung saat pembelajaran di kelas,Direkomendasikan,Kegiatannya sangat berguna serta banyak benefit yang bisa didapatkan,Pertama kali live di perusahaan mitra karena sebelumnya belum pernah,"disediakan air minum dan atau snack, materi yang lebih kompleks dan durasi yang lebih panjang"
Netral,Pertanyaan tidak relevan,Praktik dan simulasi,Netral,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,nambah pengetahuan,kualitas pilihan company,-,Netral,N/A,-,-
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Saya mendapatkan banyak ilmu dan relasi baru ,Ya,Ditambah lagi mitra nya,Direkomendasikan,Karena program GIKnowledge Building memberikan kesempatan untuk belajar hal baru ,Dapat aktif mengikuti kegiatan yang berlangsung dengan baik,Sudah Bagus 
Sangat puas,Pertanyaan tidak relevan,Diskusi,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Lebih tahu tentang algoritma perusahaan mitra & cara melakukan livestream perusahaan mitra yang benar & menarik,Vibe welcomingnya kepada seluruh peserta,tidak ada,Netral,N/A,Bisa sharing sedikit tentang pengalamanku sebagai content creator ke beberapa teman yang ikut kelas GIKnowledge Building dengan tenant yang sama,Tidak ada
Puas,N/A,Praktik dan simulasi,Puas,Sangat puas,N/A,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,N/A,Puas,N/A,Lebih tau tentang dunia industri baik dari segi kebutuhan SDM maupun bisnis proses,Poin Pertanyaan cukup baik untuk dipertahankan,"Kadang Icebreaking diperlukan jika sudah lama duduk dikursi, pembentukan kelompok dan presentasi ringkas juga lebih baik dari PR rumah. Karena disisi lain kelas mata kuliah lain juga punya PR Rumah. Namun hal ini bisa disesuaikan dengan porsi tugas ataupun urgensi",Sangat direkomendasikan,"Hm, cukup baik bagi setiap mahasiswa untuk mengetahui dunia kerja. worth it jika memang tujuannya mencari relasi, persiapan dan pengembangan diri. Disisi lain, kita juga terinspirasi dari praktisi. ""Jika berencana ada hubunngan selanjutnya setelah GIKnowledge Building, saya pun belum tau"".","GIKnowledge Building tidak setengah setengah terkait kelasnya, disisi lain mendatangkan praktisi cukup susah jadi sudah sangat baik sekali kesempatan ini. Beliau-beliau juga pada ramah dan informatif (kelas perusahaan mitra Agri sangat keren).","Beberapa orang masih ragu akan kelas GIKnowledge Building, mungkin karena benefitnya secara pasti akan ada. Lalu, pilihan industri juga beberapa jurusan sangat jauh relevansinya, mungkin jika industri dibagi dalam bentuk klaster lebih baik."
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Dapat pengalaman,Livestream,-,Netral,N/A,"Dapat pengalaman baru, teman baru",-
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Peningkatan pengetahuan ,Semua nya ,Tidak,Direkomendasikan,N/A,Mantap keren pokoknya ,Sering2 bikin
Sangat puas,Pertanyaan tidak relevan,Praktik dan simulasi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,lebih percaya diri,pelatihan menjadi host live profesional,lebih banyak praktiknya,Direkomendasikan,n/a,seru bangett! mentor dan teman-teman barunya asik semua,tidak ada
Puas,-,Praktik dan simulasi,Puas,Sangat puas,-,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,-,Sangat puas,-,mengetahui lebih jauh fitur live perusahaan mitra,praktik langsung,pitching csr,Sangat direkomendasikan,kelas praktik,praktik dan sertifikasi host live perusahaan mitra,mentor/petugas materi ptaktik dapat ditambah disesuaikan dengan jumlah peserta sehingga sesi ptaktik dapat lebih lancar dan tepat waktu
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Informasi dan materi dari perusahaan mitra,Keberlanjutan dan praktiknya,-,Direkomendasikan,N/A,Mentor sangat baik dan insightful,"capstone project perlu diratakan yang aktif, karena di kelompok saya mostly nonaktif"
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Upgrade skill,Kolaborasi dengan berbagai mitra yang menarik,Tidak ada,Direkomendasikan,Karena program GIKnowledge Building gratis dan banyak manfaat yang bisa didapatkan,Menambah teman baru serta banyak insight baru,Sudah baik dan tidak ada saran dari saya
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Mendapatkan pengetahuan, wawasan, dan materi baru yang tidak didapatkan di kelas perkuliahan, memperluas jejaring relasi, dan mengembangkan pemikiran melalui diskusi",Materi yang bermanfat,Tambahkan pertemuan offline,Direkomendasikan,Akan ada banyak hal positif yang bisa didapat dan menjadi salah satu program yang tepat untuk mengembangkan diri,Bertukar pikiran dan diskusi didalam ruang,Informasi dapat diberikan atau di follow up lebih awal dan semoga materi yang dikirim lebih lengkap
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Ilmu baru, relasi, dan kesempatan untuk magang",walk in interview,kunjungan ke kantor mitra,Direkomendasikan,ilmu baru,senang mendapatkan ilmu baru dan menambah relasi di bidang yang sama,job's role yang lebih bervariatif 
Sangat puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Dapat meningkatkan percaya diri karena menambah value pada CV.,Sikap tanggap panitia saat menjawab pertanyaan dan menangani masalah yang ada.,Sebaiknya setiap mitra tetap didukung dengan kunjungan industri atau ditambah kesempatan magang.,Direkomendasikan,Saya rasa GIKnowledge Building merupakan paket lengkap softskill yang tidak boleh disia-siakan mahasiswa terlebih lagi event ini dilaksanakan dengan tidak berbayar. Saya akan sangat merekomendasikan GIKnowledge Building karena banyak mitra dari perusahaan ternama yang dapat melatih softskills mahasiswa.,Saya bisa menggali potensi diri terutama dalam industri kreatif dan juga mendapat koneksi baru yang luas.,Mungkin dapat ditambahkan pilihan industrinya bagi mahasiswa soshum terutama di industri kreatif.
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Membangun koneksi dan menambah insight,Mengundang mitra yang terkenal,-,Direkomendasikan,Cukup bermanfaat dan seru,"Senang bertemu teman-teman lainnya, mentornya juga seru, dan tentunya mendapat insight dari materi-materi yang diberikan","1. Banyak tujuan peserta mengikuti program ini adalah untuk mencari kesempatan magang, saya harap diberi informasinya :(( ; 2. Mungkin dapat merch dari mitra? hehe; 3. Pembelajaran yang ga di kelas bareng kakak-kakak mentor."
Puas,Pertanyaan tidak relevan,Ceramah,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Manfaat utama yang saya rasakan setelah mengikuti program ini adalah peningkatan wawasan dan keterampilan praktis terkait penerapan teknologi digital, khususnya AI, data analytics, dan otomatisasi dalam dunia industri. Melalui pembelajaran ini saya lebih memahami bagaimana teknologi dapat digunakan secara nyata untuk meningkatkan efisiensi kerja. Selain itu, program ini juga membantu saya mengembangkan pola pikir profesional, memperluas jaringan industri. Program ini membantu saya memahami pentingnya kemampuan prompting dan berpikir kritis dalam berinteraksi dengan teknologi AI, serta menumbuhkan kesiapan saya untuk menghadapi tantangan dunia kerja yang semakin terdigitalisasi.","Metode pembelajarannya yang interaktif, relevan, dan aplikatif. Struktur pembelajarannya yang runtut dari konsep dasar hingga aplikasi dan teknik prompting. Materi disampaikan dengan cara yang mudah dipahami, disertai contoh penerapan nyata AI di berbagai bidang, sehingga peserta tidak hanya memahami teori tetapi juga melihat aplikasinya secara langsung. Selain itu, kesempatan untuk berinteraksi dengan mentor dan praktisi yang berpengalaman membuat proses belajar menjadi lebih menarik dan membangun motivasi untuk terus mengembangkan diri.","Saya berharap pada pelaksanaan selanjutnya dapat ditambahkan lebih banyak sesi interaktif dan diskusi langsung dengan mentor agar proses belajar menjadi lebih hidup dan mendalam. Selain itu, kegiatan berbasis kelompok juga bisa menjadi tambahan yang bermanfaat, karena membantu peserta saling mengenal, bertukar ide, dan berkolaborasi dalam menyelesaikan tugas atau studi kasus.",Direkomendasikan,"Program ini memberikan pengalaman belajar yang sangat berharga, baik dari segi materi maupun pelaksanaan. Program ini menghadirkan pembicara dan mentor profesional dari mitra ternama, sehingga peserta dapat memperoleh wawasan langsung dari para ahli di bidangnya. Selain itu, cara penyampaian yang interaktif, suasana kelas yang inspiratif, serta kesempatan untuk membangun jaringan dengan sesama peserta membuat program ini tidak hanya menambah pengetahuan, tetapi juga memperluas perspektif dan motivasi untuk berkembang secara profesional.","Pengalaman yang paling berkesan bagi saya selama mengikuti Program GIKnowledge Building adalah saat sesi pemaparan mengenai pemanfaatan AI dan berbagai aplikasinya. Pemateri memberikan banyak contoh menarik seperti Manus AI, Perplexity, Lovable, Notebook AI, Claude, dan lainnya. Menurut saya, pembicaranya sangat profesional, berpengalaman, dan memiliki latar belakang yang kuat di bidangnya. Cara beliau menyampaikan materi sangat jelas, interaktif, dan mampu menghidupkan suasana kelas sehingga kami sebagai peserta menjadi antusias untuk bertanya dan berdiskusi. Melalui sesi tersebut, saya jadi lebih memahami beragam jenis dan fungsi AI yang ternyata sangat dekat dengan kehidupan sehari-hari, sekaligus menumbuhkan minat saya untuk terus belajar lebih dalam tentang teknologi ini.","Pertama-tama, tim panitia telah bekerja dengan sangat baik dan saya mengucapkan terima kasih atas kesabaran serta kerja samanya. Berikut adalah beberapa saran untuk meningkatkan kualitas penyelenggaraan di masa mendatang:

- Aspek penyampaian dan koordinasi dari panitia. Pertama, interaksi antara panitia dan peserta sebaiknya dapat lebih ditingkatkan agar suasana kelas terasa lebih aktif dan komunikatif. 
- Kedua, jadwal kegiatan sebaiknya diinformasikan sejak awal secara lengkap dan konsisten, disertai pengingat sebelum kelas dimulai baik sehari sebelumnya maupun pada hari yang sama agar peserta dapat mempersiapkan diri dengan baik.
- Keterbadaan Data Partisipasi, akan lebih baik jika panitia memberikan konfirmasi atau laporan mengenai tingkat kehadiran dan partisipasi peserta. Hal ini penting untuk menjaga responsivitas kelas dan menghormati waktu pemateri.
- Kejelasan Deadline, setiap pengumpulan tugas atau form sebaiknya memiliki deadline yang jelas dan dikomunikasikan dengan baik, sehingga peserta dapat lebih aware dan disiplin.
- Kemudian, jika ada kegiatan seperti capstone project atau pembagian kelompok, alangkah baiknya tidak dilakukan secara mendadak agar peserta memiliki waktu untuk mempersiapkan ide, berdiskusi, dan berkolaborasi dengan maksimal. 

Meskipun demikian, saya sangat mengapresiasi komitmen panitia yang sudah berupaya menjalankan program ini dengan baik. Semoga ke depannya GIKnowledge Building dapat semakin berkembang dan memberikan pengalaman belajar yang lebih optimal."
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Lebih percaya diri dan lebih mengenal pasar,Mitra perusahaan yang kredibel dan berpengalaman dalam menjadi tutor,Belum terlintas di pikiran,Direkomendasikan,Venuenya bagus dan akses mudah,Saya mendapatkan teman-teman baru bahkan mengenal teman dari satu fakultas saya yang jikalau di fakultas saya bahkan tidak bertemu mereka karena padatnya aktivitas perkuliahan dulu saat aktif menjadi mahasiswa,Sudah bagus
Sangat puas,Pertanyaan tidak relevan,Diskusi,Netral,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"lebih mengenal lebih dalam terkait perusahaan mitra Agribusiness and Food, dimana perusahaan tersebut merupakan tujuan karir saya",Proses seleksi untuk mengikuti kelasnya,tambahkan fasilitas kunjungan ke perusahaan,Direkomendasikan,N/A,bertemu dengan teman-teman super aktif dan kritis dan datang ke kelas selalu merasa excited karena topiknya selalu relate dengan fokus minat,"Ada maksimal ketidakhadiran dalam kelas, karena ketika project akhir dilaksanakan jika mendapat anggota kelompok yang menghilang sangat membebani (misal kelompok lain full team, sedangkan kelompok kami banyak yang hilang, maka juga mempengaruhi hasil kerja dari project tersebut)"
Sangat puas,Pertanyaan tidak relevan,Diskusi,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Tidak,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Mendapatkan info mengenai lowongan magang dan mendapatkan ilmu yang lebih mendalam mengenai host live ,Materinya sesuai dengan apa yang dibutuhkan pasar lada saat ini,Mengenai Digital Analyst dan digital marketing ,Direkomendasikan,"Karena dapat memperluas network dan mendapatkan peluang magang. Selain itu, mendapatkan ilmu baru mengenai live host ","Pengisi materinya interaktif dan banyak ilmu yang didapatkan melalui program ini, khussunya ttg live host ","Pada awal pendaftaran seharusnya disampaikan fokus dari materi yang akan diajarkan. Awalanya saya kira mengenai Digital Marketing, ternyata lebih fokus pada live host."
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Memiliki kemampuan baru dan relasi yang lebih luas,Kerjasama dengan mitra yang mampu membawakan program-program yang bisa menjadi bekal di dunia kerja bagi para mahasiswa/i,"digital marketing, product development",Sangat direkomendasikan,karena menariik untuk diikuti dan sangat berguna ilmunyaa,"Sangat menyenangkan, bisa berkenalan dengan teman"" baru yang berasal dari berbagai bidang, dann sayaa bisa mempelajari hal baru (diluar jurusan sayaa) yang tentunya sangat bermanfaat bagi saya kedepannyaa",-
Puas,Pertanyaan tidak relevan,Kunjungan lapangan,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mengetahui dampak langsung yang ada di industri,Pengalaman langsung untuk belajar di industri,Perbanyak sivitasi industri dan pemecahan masalah dalam bentuk proyek,Netral,N/A,Bisa mendapatkan teman baru dan pengalaman langsung ke industri,Menambah durasi kegiatan
